id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
22,msg29603168,https://bitcointalk.org/index.php?topic=2857262.0,,515,Announcements (Altcoins),2018-02-04 16:50:45,SyrulRamadhan,Member,448,10,,[ANN] [WHITEPAPER UPDATE] SKYHOPECOIN | DECENTRALIZED PAYMENTS FOR FREELANCERS,wow fresh projek for frelance great ! when bounty start sir?,False
23,msg29604989,https://bitcointalk.org/index.php?topic=2857262.0,,515,Announcements (Altcoins),2018-02-04 17:18:07,skyhope,Newbie,28,0,,[ANN] [WHITEPAPER UPDATE] SKYHOPECOIN | DECENTRALIZED PAYMENTS FOR FREELANCERS,BOUNTY LIVE HERE,False
24,msg29608727,https://bitcointalk.org/index.php?topic=2857262.0,,515,Announcements (Altcoins),2018-02-04 18:16:41,Ontalmalang4,Newbie,182,0,,[ANN] [WHITEPAPER UPDATE] SKYHOPECOIN | DECENTRALIZED PAYMENTS FOR FREELANCERS,"new project and I see a lot of people are enthusiastic here, I see the future of your project right now, I think it's great if you already have a web site and a whitepaper.Great idea and a very unique project, a very clear vision and mission, with a TOTAL of 60 million SUPPLY SHC, it became the main reason for campaign gifts finders, good luck",False
25,msg29609474,https://bitcointalk.org/index.php?topic=2857262.0,,515,Announcements (Altcoins),2018-02-04 18:27:56,laurenB7742,Full Member,336,107,,[ANN] [WHITEPAPER UPDATE] SKYHOPECOIN | DECENTRALIZED PAYMENTS FOR FREELANCERS,"Firstly I thought, why do you need special token Skyhopecoin for freelancer payments, you could simply use Bitcoin or Ethereum. But now I see that SHC token will be used as Escrow between a freelancer and person who will hire him. This idea is not bad, because there isn't many trusted escrow services and you definitely need some kind of escrow in this business. For example in a situation when freelancer finishes his job and then the buyer doesn't want to pay him because he is not satisfied with the product. In this case, an escrow will decide about the payment.  What I don't like is that your team is anonymous. Please provide full names and LinkedIn profiles or Facebook/Twitter.",False
26,msg29609945,https://bitcointalk.org/index.php?topic=2857262.0,,515,Announcements (Altcoins),2018-02-04 18:35:38,zakalwe,Sr. Member,447,251,,[ANN] [WHITEPAPER UPDATE] SKYHOPECOIN | DECENTRALIZED PAYMENTS FOR FREELANCERS,I think you over-valued your project. Price of SHC token is 1 ETH / 3000 = 0.000333 ETH So you estimate your project to be worth 60 000 000 x 0.000333 ETH = 20 000 ETH At current price 880 USD this means 20 000 x 880 USD = 17 600 000 USD  $17 million is too much for a freelancing platform.,False
27,msg29616382,https://bitcointalk.org/index.php?topic=2857262.0,msg29609945,515,Announcements (Altcoins),2018-02-04 22:38:15,skyhope,Newbie,28,0,,[ANN] [WHITEPAPER UPDATE] SKYHOPECOIN | DECENTRALIZED PAYMENTS FOR FREELANCERS,   Thank you for suggesting we will talk to team ,False
28,msg29623150,https://bitcointalk.org/index.php?topic=2857262.0,,515,Announcements (Altcoins),2018-02-05 03:51:02,Dimid,Sr. Member,704,255,,[ANN] [WHITEPAPER UPDATE] SKYHOPECOIN | DECENTRALIZED PAYMENTS FOR FREELANCERS,How long will ICO last?,False
29,msg29623697,https://bitcointalk.org/index.php?topic=2857262.0,,515,Announcements (Altcoins),2018-02-05 04:09:09,nazareth flith,Member,252,10,,[ANN] [WHITEPAPER UPDATE] SKYHOPECOIN | DECENTRALIZED PAYMENTS FOR FREELANCERS,"alocation for bounty campaign is 3,000,000 5 percent of total supply. rate ico is 3000 = 1 eth 3,000,000 : 3000 = 1000 eth alocation for bounty campaign. very interesting, i wanna joining bounty campaign sir.",False
30,msg29638583,https://bitcointalk.org/index.php?topic=2857262.0,msg29623150,515,Announcements (Altcoins),2018-02-05 09:46:07,skyhope,Newbie,28,0,,[ANN] [WHITEPAPER UPDATE] SKYHOPECOIN | DECENTRALIZED PAYMENTS FOR FREELANCERS,   we will publish on this week ,False
31,msg29661990,https://bitcointalk.org/index.php?topic=2857262.0,,515,Announcements (Altcoins),2018-02-05 15:54:19,bad_apple,Newbie,151,0,,[ANN] [WHITEPAPER UPDATE] SKYHOPECOIN | DECENTRALIZED PAYMENTS FOR FREELANCERS,Reserve for Filipino Translation,False
32,msg29673359,https://bitcointalk.org/index.php?topic=2857262.0,,515,Announcements (Altcoins),2018-02-05 19:01:37,skyhope,Newbie,28,0,,[ANN] [WHITEPAPER UPDATE] SKYHOPECOIN | DECENTRALIZED PAYMENTS FOR FREELANCERS,ALLOCATION HAS BEEN CHANGE   ALLOCATION  Community Rewards 10%  Bounty 20%  Team & Build 20%  Token Sale 50%,False
