id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
373,msg36172681,https://bitcointalk.org/index.php?topic=3248955.0,msg35509928,3369,Announcements (Altcoins),2018-05-03 05:28:26,frenkelebre,Jr. Member,392,2,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,  Eterbank is aiming also the security of the accounts of members. I am just thinking if they will promote cashless payment. So even cents or coins will be gone because there will be no cash or physical appreance you will use in payment.,False
374,msg36192708,https://bitcointalk.org/index.php?topic=3248955.0,,3369,Announcements (Altcoins),2018-05-03 10:47:12,Catakou14,Newbie,35,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,Do Eterbank have already a card payment that they can produce? or do we just use app through mobile phones? I appreciate the efforts of the team by giving members a satisfaction.,False
375,msg36192991,https://bitcointalk.org/index.php?topic=3248955.0,msg36192708,3369,Announcements (Altcoins),2018-05-03 10:51:11,Relentless1020,Newbie,126,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,   I have the same question. I was curious about the payment if they gonna use card or app. I hope this will be address by the admin. I am very excited about the success of the project.,False
376,msg36246201,https://bitcointalk.org/index.php?topic=3248955.0,msg36185976,3369,Announcements (Altcoins),2018-05-03 22:35:31,richelle87,Newbie,210,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,   I highly suggest you read the white paper so you can understand much more the project. It's located at the first page of this thread.,False
377,msg36246339,https://bitcointalk.org/index.php?topic=3248955.0,msg36192708,3369,Announcements (Altcoins),2018-05-03 22:38:11,Eterbank,Member,143,10,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"   We do not deal with card payments since they involve fees from card providers (such as visa, mastercard) and fees for issuing banks (ex: WaveCrest holdings). Our payments are direct, in crypto with zero fees.",False
378,msg36246389,https://bitcointalk.org/index.php?topic=3248955.0,msg36192991,3369,Announcements (Altcoins),2018-05-03 22:39:01,Eterbank,Member,143,10,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"   Payments are made directly from the wallet app in crypto, with 0 fees.",False
379,msg36247094,https://bitcointalk.org/index.php?topic=3248955.0,msg36246201,3369,Announcements (Altcoins),2018-05-03 22:53:10,Eterbank,Member,143,10,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,   Check out our new explainer video: https://www.youtube.com/watch?v=OtbFvXmZBMY,False
380,msg36247314,https://bitcointalk.org/index.php?topic=3248955.0,msg36247128,3369,Announcements (Altcoins),2018-05-03 22:57:32,recsoninlight,Jr. Member,162,1,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,   I guess it's impossible that the project will be offering 0 fees with their transaction. How will the team gain profit from the platform?,False
381,msg36247483,https://bitcointalk.org/index.php?topic=3248955.0,msg36247314,3369,Announcements (Altcoins),2018-05-03 23:00:48,shikon_shard,Jr. Member,128,1,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,  But the admin is the one who said it? It might really sound impossible but it will attract people at the same time to use the project because of the 0 fees for the transaction done on Eterbank.,False
382,msg36247766,https://bitcointalk.org/index.php?topic=3248955.0,msg36247483,3369,Announcements (Altcoins),2018-05-03 23:06:52,buldogers,Jr. Member,228,2,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,   It's good to know that they'll be offering 0 fees on the transactions. It'll make Eterbank stand out to other existing platforms on the marketplace.,False
