id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
39,msg42436445,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-18 20:02:04,dcaisuru,Newbie,140,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange," I read about the project more and more, very interesting. Looks like the project will be successful in the future.",False
40,msg42447641,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-19 02:05:20,Zergler,Newbie,3,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,Fiat/BTC? Count me in!,False
41,msg42563319,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-20 20:37:57,!vanovi4,Jr. Member,168,1,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"In this project , I liked that one of the goals is to simplify the trade and exchange of cryptocurrencies for beginners, ordinary people, and for professional traders. The fact that the interface of the Colin TradeBase trademark is simply designed, easy to access and understand, and also simplifies the trading of cryptocurrencies than other older and clunky exchanges is encouraging.",False
42,msg41951715,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-11 08:42:27,Moshensk,Newbie,98,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"I hope these guys can reach great heights for their company, an excellent project!",False
43,msg41951752,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-11 08:43:12,Harpreet1995,Newbie,32,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"Love exchanges and exchange tokens!  Today is the least amount of users and the lowest volume exchanges will ever have.  Good idea from Aleks. Don't ask for KYC and get shut down by any regulator on the globe, very smart.",False
44,msg41952580,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-11 08:58:40,byeibo,Newbie,12,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"Could you please explain this part on the website where you cite different types of exchanges, will it be different exchanges aclopadas in the project or different crypto currencies?",False
45,msg41965885,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-11 12:54:46,TonyChase,Newbie,25,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"Every day I read and learn about the project more and more, very interesting. Looks like the project will be successful in the future.",False
46,msg41966469,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-11 13:04:24,Olga727,Newbie,12,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"Hello, friends! join the project, the project is very interesting and useful!!!",False
47,msg41966811,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-11 13:10:21,lilaj4de,Sr. Member,602,250,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"Will the 24-hour customer support service always be controlled by a human, or at certain times will it be just boots assisting the user's doubt or support?",False
48,msg41979494,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-11 16:34:15,maximus1987,Newbie,31,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,What an incredible project have go through the site looks awesome with a great feature which is really going to help alot of traders and investors in cryptocurrency space. Will follow this awesome project to its summit which I believe is going to be a successful one and great opportunity for us in the future.,False
49,msg41980188,https://bitcointalk.org/index.php?topic=4548871.0,msg41915826,19227,Announcements (Altcoins),2018-07-11 16:45:49,COINTRADEBASE EXCHANGE,Newbie,13,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"  token sale have started and the present price is $0.14, which minimum purchase is $50, deposit to your account on website and buy the token",False
50,msg41981347,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-11 17:05:14,romanos24,Newbie,5,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"In my opinion, one of the powerful projects in the category of platform, as well as the airdrop program which will make several X. Good luck in job!",False
51,msg41982116,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-11 17:19:12,Dropbox228,Newbie,39,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"The project seems rather promising. Wondrous logo, very nice website, believable idea! Wink",False
52,msg42001617,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-12 02:08:12,cpttimocpttimo,Newbie,5,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,cointradebase!! Keep on eyes!,False
53,msg42004143,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-12 03:41:54,Kskdrop777,Newbie,8,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,Cointradebase will be very successful. I support the success of this Awesome project!,False
54,msg42012016,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-12 07:08:08,salek69,Newbie,32,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,I believe on your team .Best of luck for your team ..I know this project will become successful .,False
55,msg42029974,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-12 12:40:12,bbang6556,Newbie,14,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,good porject~~,False
56,msg42040164,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-12 15:24:27,conghuy55hk,Newbie,220,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange," An interesting project that causes a lot of emotions and joys, one must clutch at it and act. You have long been looking for something like this, then I can advise you only just it. excellent team and prospect project.",False
57,msg42044181,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-12 16:32:43,kotik085,Newbie,31,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"I like the semblance of decentralization compliance in the future and adding automatic translation token to the dedicated myetherwallet, metamask. Good",False
58,msg42052282,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-12 18:52:55,leodim,Newbie,126,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"Very cool and promising project. I like how the project team works. I think the project has a great future.I'm glad to get to such a promising project. I think in the near future I will see an unprecedented growth of this project. I'm interested to be here, thank you all! Very beautiful",False
59,msg42066808,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-13 01:28:51,thangk47kmt,Newbie,4,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,let's HODL CBT and waiting for it to the moon!,False
60,msg42077883,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-13 07:04:56,BTC224,Newbie,30,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange," An interesting project that causes a lot of emotions and joys, one must clutch at it and act. You have long been looking for something like this, then I can advise you only just it. excellent team and prospect project.",False
61,msg42097956,https://bitcointalk.org/index.php?topic=4548871.0,msg40968483,19227,Announcements (Altcoins),2018-07-13 13:29:15,teka1997,Newbie,3,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange, ,False
62,msg41863061,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-09 20:04:44,atzzze,Newbie,11,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,I'm very curious how it goes mirt the project. in my opinion is clearly off to the top,False
63,msg41868385,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-09 22:13:07,arhicrypt,Newbie,16,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,Wonderful project. Traders will be very happy!,False
64,msg41871245,https://bitcointalk.org/index.php?topic=4548871.0,msg40968483,19227,Announcements (Altcoins),2018-07-09 23:44:11,JEGHAM NABIL,Newbie,2,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,   SUPER PROJECT,False
65,msg41894351,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-10 10:21:57,AleksBerserk,Newbie,60,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"Guys, you have a very ambitious idea! I believe in you! Just do not ask for KYC. And this is the last time the stock exchanges have become so obsessed with this. ^^",False
66,msg41900801,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-10 12:20:43,tpctn001,Newbie,2,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,Good project. I want to recommend this project to everybody around me to participate in.,False
67,msg41904739,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-10 13:28:13,Jnsteval01,Newbie,30,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,The COINTRADEBASE project is a very unique and innovative project on the blockchain technology. I advise everyone to join.,False
68,msg41907098,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-10 14:05:51,ryapan,Newbie,9,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"can't wait , come on guys sign up ",False
69,msg41915826,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-10 16:32:27,huynca96,Newbie,9,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,I know your project through social networking sites and I am very interested in this project. Tell me the price Tokens!,False
70,msg41918306,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-10 17:13:58,Cristle,Jr. Member,294,1,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"I liked this project, because the mission of the Coin Trade Base is to create a solid platform that can withstand any number of tributaries, discard a security threat and stand the test of time. Coin Trade Base can become the world's largest platform for exchanging crypto-currencies in the world in terms of security, trust, simplified user interface!",False
71,msg41923866,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-10 19:06:14,podarkes1992,Newbie,45,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,Great project. I am confident that you will succeed,False
72,msg41924693,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-10 19:24:07,cryptobits3,Full Member,658,100,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,this is a good project ; I want you to join this project. waiting for the launch of the project good luck team,False
73,msg41930814,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-10 21:44:10,FTotal,Jr. Member,84,1,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,Very perspective project! I recommend to participate all! It is possible to earn good money!,False
74,msg41933202,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-10 22:57:44,skoblikovks,Newbie,50,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"Is a great project and it has great potential for development. I Believe in this project and to the team, they are seriously taking every steps to make it a successful.",False
