id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
21,msg32562664,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-03-18 05:01:33,anton agus,Newbie,210,0,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,facebook campagn number of spreadsheets : 70 BtcTalk User Name : anton agus  https://web.facebook.com/siska.smprna/posts/708620529335341 https://web.facebook.com/siska.smprna/posts/708974449299949 https://web.facebook.com/siska.smprna/posts/709535849243809 https://web.facebook.com/siska.smprna/posts/709535769243817 https://web.facebook.com/siska.smprna/posts/709968962533831 https://web.facebook.com/siska.smprna/posts/710435855820475,False
22,msg32597584,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-03-18 14:31:56,tamango,Full Member,602,100,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,Week 14.3 - 20.3 bitcointalk username   tamango bitcointalk profile link   https://bitcointalk.org/index.php?action=profile;u=1159276 twitter username: CesareCorso    twitter profile link: https://twitter.com/CesareCorso    twitteraudit:https://www.twitteraudit.com/CesareCorso    Tweets/Retweets: 1 14.3 https://twitter.com/CesareCorso/status/973906951896739840 2 15.3 https://twitter.com/CesareCorso/status/974295001986404352 3 16.3 https://twitter.com/CesareCorso/status/974644036798746624 4 17.3 https://twitter.com/CesareCorso/status/974988560368586752 5 18.3 https://twitter.com/CesareCorso/status/975379178806759424,False
23,msg32641210,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-03-19 04:28:29,bertikopsa,Jr. Member,350,1,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million, Lack of activity in social networks is suspicious!,False
24,msg32649942,https://bitcointalk.org/index.php?topic=2816000.0,msg31960506,3168,Marketplace (Altcoins),2018-03-19 07:44:31,cryptobountyz1,Newbie,168,0,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,   #Week 6 : [11.03 / 17.03] Twitter username: @vhenialmis Twitter account: https://twitter.com/vhenialmis    Number of folllowers:3349  1. https://twitter.com/P2PAY_Official/status/974642894203183104 2. https://twitter.com/P2PAY_Official/status/975598257048031232 3. https://twitter.com/P2PAY_Official/status/975600521041055744 4. https://twitter.com/P2PAY_Official/status/975593395061166080  Tweets : 1. https://twitter.com/vhenialmis/status/975638115313319937 2. https://twitter.com/vhenialmis/status/975638439910502400,False
25,msg32682410,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-03-19 15:26:01,mtalgcmag,Jr. Member,546,1,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,Week : 8   (14/3 – 20/3)  Twitter  Campaign:  Twitter username: @nguyenvuminh5 Twitter Profile Link: https://twitter.com/nguyenvuminh5 Followers: 2086  Tweets: 1. https://twitter.com/nguyenvuminh5/status/973947931957985285 2. https://twitter.com/nguyenvuminh5/status/974672514478620672 3. https://twitter.com/nguyenvuminh5/status/975213623680184320  . Retweets: 1. https://twitter.com/P2PAY_Official/status/972275171116634112 2. https://twitter.com/P2PAY_Official/status/972277021488353280 3. https://twitter.com/P2PAY_Official/status/974642894203183104 4. https://twitter.com/P2PAY_Official/status/975593395061166080 5. https://twitter.com/P2PAY_Official/status/975598257048031232   Facebook Campaign:  Facebook profile link: https://www.facebook.com/minhthcsvb Friends: 1919  Post: 1. https://www.facebook.com/minhthcsvb/posts/829015373951573 2. https://www.facebook.com/minhthcsvb/posts/830052370514540 3. https://www.facebook.com/minhthcsvb/posts/830931627093281  Share & like: 1. https://www.facebook.com/minhthcsvb/posts/829015150618262 2. https://www.facebook.com/minhthcsvb/posts/830052320514545 3. https://www.facebook.com/minhthcsvb/posts/830931240426653 4. https://www.facebook.com/minhthcsvb/posts/831711177015326 5. https://www.facebook.com/minhthcsvb/posts/831711217015322,False
26,msg32750863,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-03-20 12:44:34,prizrak9484,Member,406,10,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,week #8 (14.03 - 20.03)  Twitter campaing Twitter Profile Link:  https://twitter.com/mad_prizrak9484 Followerd: 8900 Retweets & Likes: 1. https://twitter.com/mad_prizrak9484/status/973885915709034496 2. https://twitter.com/mad_prizrak9484/status/974252750908387328 3. https://twitter.com/mad_prizrak9484/status/974604429470167040 4. https://twitter.com/mad_prizrak9484/status/975047838211231745 5. https://twitter.com/mad_prizrak9484/status/975340336221446144  Facebook campaing Facebook url: https://www.facebook.com/irinafox95 Friends: 5000+ Repost & like: 1. https://www.facebook.com/irinafox95/posts/2114781885408663 2. https://www.facebook.com/irinafox95/posts/2115997275287124 3. https://www.facebook.com/irinafox95/posts/2116772138542971,False
27,msg32838877,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-03-21 15:14:01,SAYDAKHMETOV,Newbie,266,0,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,Week (14.03 - 21.03) bitcointalk username: SAYDAKHMETOV bitcointalk profile link: https://bitcointalk.org/index.php?action=profile;u=1645096 twitter username: @SSaydakhmetov  twitter profile link: https://twitter.com/SSaydakhmetov    twitteraudit:https: https://www.twitteraudit.com/SSaydakhmetov  Tweets 1. https://twitter.com/SSaydakhmetov/status/974296933425704960 2. https://twitter.com/SSaydakhmetov/status/974658653537042433 3. https://twitter.com/SSaydakhmetov/status/974919185393442816 4. https://twitter.com/SSaydakhmetov/status/975292487714697216 5. https://twitter.com/SSaydakhmetov/status/975796830964535298  Retweets / like: 1. https://twitter.com/P2PAY_Official/status/974642894203183104 2. https://twitter.com/P2PAY_Official/status/975593395061166080,False
28,msg32840618,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-03-21 15:37:21,toyo87,Full Member,686,100,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,"Hello  Dev, any update on progress of the project?",False
29,msg32844269,https://bitcointalk.org/index.php?topic=2816000.0,msg32264663,3168,Marketplace (Altcoins),2018-03-21 16:25:46,Neil81,Member,392,10,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,   21.03 Twitter url: https://twitter.com/neil81_neil Friends 1760 Twitt https://twitter.com/neil81_neil/status/974585975341973504?s=19 https://twitter.com/neil81_neil/status/975736187892748288?s=19  Retwitt  Facebook link: http://www.facebook.com/nail.fatkhulin Friends 5200 Post https://m.facebook.com/story.php?story_fbid=1959028754168206&id=100001833015598 https://m.facebook.com/story.php?story_fbid=1963963243674757&id=100001833015598 Repost,False
30,msg32849477,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-03-21 17:41:33,Rakhimovich,Newbie,476,0,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,Week: #8 (15.03.2018-21.03.2018) Twitter account: https://twitter.com/Bitcoinclubuz Number of folllowers:5230+  Retweets+likes: 16.03.2018   https://twitter.com/P2PAY_Official/status/974642894203183104 19.03.2018   https://twitter.com/P2PAY_Official/status/975593395061166080 20.03.2018   https://twitter.com/P2PAY_Official/status/975598257048031232 21.03.2018   https://twitter.com/P2PAY_Official/status/975600521041055744  Tweets+likes: 15.03.2018   https://twitter.com/Bitcoinclubuz/status/974340956504969219 16.03.2018   https://twitter.com/Bitcoinclubuz/status/974659274864578561 17.03.2018   https://twitter.com/Bitcoinclubuz/status/975012051922882560 18.03.2018   https://twitter.com/Bitcoinclubuz/status/975312335098310658 20.03.2018   https://twitter.com/Bitcoinclubuz/status/976120109063376896,False
