id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
24,msg39555018,https://bitcointalk.org/index.php?topic=4430681.0,,12598,Announcements (Altcoins),2018-06-07 06:08:31,arjanenako,Newbie,224,0,,Elrond | 1000x Throughput | Blazing fast TX speed,Does it have a bounty?,False
25,msg39556859,https://bitcointalk.org/index.php?topic=4430681.0,,12598,Announcements (Altcoins),2018-06-07 06:45:21,alicee,Copper Member,435,0,,Elrond | 1000x Throughput | Blazing fast TX speed,reserve Chinese translation,False
26,msg39557082,https://bitcointalk.org/index.php?topic=4430681.0,msg39551393,12598,Announcements (Altcoins),2018-06-07 06:49:58,xtester,Hero Member,840,500,,Elrond | 1000x Throughput | Blazing fast TX speed,"   Hey ParideDannio. What do you mean by departure? Official mainnet launch? If so, then yes, but the current timeline is very preliminary and will be updated as soon as we release our prototype.  Coins will be distributed through an ICO, but no details about this are available yet. Right now our whole focus is on releasing Elrond's prototype.",False
27,msg39557127,https://bitcointalk.org/index.php?topic=4430681.0,msg39554676,12598,Announcements (Altcoins),2018-06-07 06:50:40,xtester,Hero Member,840,500,,Elrond | 1000x Throughput | Blazing fast TX speed,   Thanks for the note. Advisers will be added quite soon.,False
28,msg39557147,https://bitcointalk.org/index.php?topic=4430681.0,msg39555018,12598,Announcements (Altcoins),2018-06-07 06:51:05,xtester,Hero Member,840,500,,Elrond | 1000x Throughput | Blazing fast TX speed,   Hey there. No bounties for now.,False
29,msg39612754,https://bitcointalk.org/index.php?topic=4430681.0,,12598,Announcements (Altcoins),2018-06-07 23:45:25,my_btt_acc_was_stolen,Newbie,4,0,,Elrond | 1000x Throughput | Blazing fast TX speed,Very interesting! Can make a Russian and Ukrainian translations.  UPD: Have some trouble with whitepaper download,False
30,msg39645429,https://bitcointalk.org/index.php?topic=4430681.0,,12598,Announcements (Altcoins),2018-06-08 12:37:37,rigel,Legendary,1240,1001,,Elrond | 1000x Throughput | Blazing fast TX speed,"Hello xtester, nice to see you again.  How many people in your team?",False
31,msg39673081,https://bitcointalk.org/index.php?topic=4430681.0,msg39645429,12598,Announcements (Altcoins),2018-06-08 19:28:24,xtester,Hero Member,840,500,,Elrond | 1000x Throughput | Blazing fast TX speed,"   Hey Rigel, how's it going?  You can take a look at our team here: www.elrond.network - we are currently 11 people and will add another 2-3 people pretty soon.  Though right now our focus is on launching our prototype.",False
32,msg45308597,https://bitcointalk.org/index.php?topic=4430681.0,,12598,Announcements (Altcoins),2018-09-06 23:09:30,Peao,Legendary,1321,1001,,Elrond | 1000x Throughput | Blazing fast TX speed,data storage costs have been a major problem recently. this will be useful for blockchain when considering a scalable project and domains.,False
33,msg46241903,https://bitcointalk.org/index.php?topic=4430681.0,msg45308597,12598,Announcements (Altcoins),2018-09-27 18:10:40,xtester,Hero Member,840,500,,Elrond | 1000x Throughput | Blazing fast TX speed,"   Indeed, we are progressing quite well and will likely have a working testnet in about one month or so.  Will keep things posted here.",False
34,msg47855739,https://bitcointalk.org/index.php?topic=4430681.0,,12598,Announcements (Altcoins),2018-11-13 09:02:47,Buchi-88,Legendary,2114,1117,,Elrond | 1000x Throughput | Blazing fast TX speed,"Hello, any news or updates?",False
35,msg47906397,https://bitcointalk.org/index.php?topic=4430681.0,,12598,Announcements (Altcoins),2018-11-14 21:10:54,chon0783,Copper Member,140,0,,Elrond | 1000x Throughput | Blazing fast TX speed,They have an MVP medium post available with details about their progress. This might be a legit project. Good luck.,False
36,msg48090199,https://bitcointalk.org/index.php?topic=4430681.0,,12598,Announcements (Altcoins),2018-11-21 05:18:48,SherwoodP,Newbie,20,0,,Elrond | 1000x Throughput | Blazing fast TX speed,We have listed your project on our website: https://icoscale.com/ico_listing/elrond-network/,False
37,msg48270518,https://bitcointalk.org/index.php?topic=4430681.0,,12598,Announcements (Altcoins),2018-11-27 14:14:17,xtester,Hero Member,840,500,,Elrond | 1000x Throughput | Blazing fast TX speed,Hey guys.  Here is a very long and substantive update on what we've been working on with Elrond: https://medium.com/elrondnetwork/elrond-technical-progress-update-some-talk-about-it-we-build-it-3-2c556355d3ae  In it you'll find:  - our new whitepaper update: https://elrond.com/files/Elrond_Whitepaper_EN.pdf a more detailed architecture highlight and evolution first release of our initial prototype which is now open source: https://github.com/elrondnetwork new website rebranding and migration to www.elrond.com  Curious to hear thoughts and feedback!,False
38,msg48270875,https://bitcointalk.org/index.php?topic=4430681.0,msg47855739,12598,Announcements (Altcoins),2018-11-27 14:29:26,xtester,Hero Member,840,500,,Elrond | 1000x Throughput | Blazing fast TX speed,"   Yes, lots of new updates available. We'll keep them coming on bitcointalk as well.  By the way here's our latest newsletter: bit.ly/2FGTcoZ",False
39,msg48272373,https://bitcointalk.org/index.php?topic=4430681.0,msg48090199,12598,Announcements (Altcoins),2018-11-27 15:26:37,xtester,Hero Member,840,500,,Elrond | 1000x Throughput | Blazing fast TX speed,   Thank you for your effort!,False
40,msg48272818,https://bitcointalk.org/index.php?topic=4430681.0,,12598,Announcements (Altcoins),2018-11-27 15:44:33,xtester,Hero Member,840,500,,Elrond | 1000x Throughput | Blazing fast TX speed,We've just published our first relevant partnership.  Elrond Initiates Cooperation With Leading Payment Provider NETOPIA Payments: https://medium.com/elrondnetwork/partnership-announcement-elrond-initiates-cooperation-with-leading-payment-provider-netopia-223e7c9217b5,False
