,api,chart,cryptocompare,discontinued,id,name,name_alt,symbol,symbol_alt
254,cryptocompare,False,POT,False,POT,potcoin,,pot,
255,cryptocompare,False,PSEUD,False,PSEUD,pseudocash,,pseud,
256,cryptocompare,False,PXC,False,PXC,phoenixcoin,,pxc,
257,cryptocompare,False,PYC,False,PYC,paycoin,,pyc,
258,cryptocompare,False,RDD,False,RDD,reddcoin,,rdd,
259,cryptocompare,False,RIPO,False,RIPO,ripoffcoin,,ripo,
260,cryptocompare,False,RPC,False,RPC,ronpaulcoin,,rpc,
261,cryptocompare,False,RT2,False,RT2,rotocoin,,rt2,
262,cryptocompare,False,RYC,False,RYC,royalcoin,,ryc,
263,cryptocompare,False,RZR,False,RZR,razorcoin,,rzr,
264,cryptocompare,False,SAT2,False,SAT2,saturn2coin,,sat2,
265,cryptocompare,False,SBC,False,SBC,stablecoin,,sbc,
266,cryptocompare,False,SDC,False,SDC,shadowcash,,sdc,
267,cryptocompare,False,SFR,False,SFR,saffroncoin,,sfr,
268,cryptocompare,False,SHADE,False,SHADE,shadecoin,,shade,
269,cryptocompare,False,SHLD,False,SHLD,shieldcoin,,shld,
270,cryptocompare,False,SILK,False,SILK,silkcoin,,silk,
271,cryptocompare,False,SLG,False,SLG,sterlingcoin,,slg,
272,cryptocompare,False,SMC,False,SMC,smartcoin,,smc,
273,cryptocompare,False,SOLE,False,SOLE,solecoin,,sole,
274,cryptocompare,False,SPA,False,SPA,spaincoin,,spa,
275,cryptocompare,False,SPOTS,False,SPOTS,spots,,spots,
276,cryptocompare,False,SRC,False,SRC,securecoin,,src,
277,cryptocompare,False,SSV,False,SSV,ssvcoin,,ssv,
278,cryptocompare,False,SUPER,False,SUPER,supercoin,,super,
279,cryptocompare,False,SWIFT,False,SWIFT,bitswift,,swift,
280,cryptocompare,False,SYNC,False,SYNC,synccoin,,sync,
281,cryptocompare,False,SYS,False,SYS,syscoin,,sys,
282,cryptocompare,False,TAG,False,TAG,tagcoin,,tag,
283,cryptocompare,False,TAK,False,TAK,takcoin,,tak,
284,cryptocompare,False,TES,False,TES,teslacoin,,tes,
285,cryptocompare,False,TGC,False,TGC,tigercoin,,tgc,
286,cryptocompare,False,TIT,False,TIT,tittiecoin,,tit,
287,cryptocompare,False,TOR,False,TOR,torcoin,,tor,
288,cryptocompare,False,TRC,False,TRC,terracoin,,trc,
289,cryptocompare,False,TITC,False,TITC,titcoin,,titc,
290,cryptocompare,False,ULTC,False,ULTC,umbrella,,ultc,
291,cryptocompare,False,UNB,False,UNB,unbreakablecoin,,unb,
292,cryptocompare,False,UNO,False,UNO,unobtanium,,uno,
293,cryptocompare,False,URO,False,URO,urocoin,,uro,
294,cryptocompare,False,USDE,False,USDE,unitarystatus dollar,,usde,
295,cryptocompare,False,UTC,False,UTC,ultracoin,,utc,
296,cryptocompare,False,UTIL,False,UTIL,utility coin,,util,
297,cryptocompare,False,VDO,False,VDO,vidiocoin,,vdo,
298,cryptocompare,False,VIA,False,VIA,viacoin,,via,
299,cryptocompare,False,VOOT,False,VOOT,vootcoin,,voot,
300,cryptocompare,False,VRC,False,VRC,vericoin,,vrc,
301,cryptocompare,False,VTC,False,VTC,vertcoin,,vtc,
302,cryptocompare,False,WDC,False,WDC,worldcoin,,wdc,
303,cryptocompare,False,XAI,False,XAI,sapiencecoin,,xai,
